comparison,diff,lwr,upr,p adj,time_delta,test,padj_method,variable
Neomycin+ColiGuard-Neomycin,-4.73298128975303,-26.4341986458416,16.9682360663355,0.987226455244796,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,6.34277565598258,-15.7771532966334,28.4627046085985,0.957732942578489,t2_t6,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-2.32654622689963,-16.3239627629368,11.6708703091376,0.996379606480914,t2_t6,anova,TukeyHSD,BWPD
ColiGuard-Control,3.6404018448839,-9.73206513483499,17.0128688246028,0.966178509368004,t2_t6,anova,TukeyHSD,BWPD
Neomycin-Control,-6.66158399350605,-20.0340509732249,6.71088298621285,0.686487445147242,t2_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-1.41957103126873,-14.7920380109876,11.9528959484502,0.999581571081137,t2_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-0.349797912845701,-14.7487863283478,14.0491905026564,0.999999722418832,t2_t6,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,5.96694807178353,-7.74993066050144,19.6838268040685,0.794321434304317,t2_t6,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-4.33503776660642,-18.0519164988914,9.38184096567855,0.937064634449447,t2_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,0.906975195630894,-12.8099035366541,14.6238539279159,0.999959344831432,t2_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,1.97674831405393,-12.742652367438,16.6961489955458,0.998690638120886,t2_t6,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-10.3019858383899,-23.3805165508422,2.77654487406227,0.202761568592636,t2_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-5.05997287615263,-18.1385035886048,8.01855783629958,0.863084512536452,t2_t6,anova,TukeyHSD,BWPD
