DNA_plate,DNA_well,metric,value,analysis
plate_1,H12,unrooted_pd,114.017,100K
plate_1,H12,bwpd,2.17027,100K
plate_1,H1,unrooted_pd,127.618,100K
plate_1,H1,bwpd,2.07373,100K
plate_1,H2,unrooted_pd,127.939,100K
plate_1,H2,bwpd,2.11224,100K
plate_1,H3,unrooted_pd,125.185,100K
plate_1,H3,bwpd,2.07307,100K
plate_1,H4,unrooted_pd,123.73,100K
plate_1,H4,bwpd,2.02783,100K
plate_1,H5,unrooted_pd,126.802,100K
plate_1,H5,bwpd,2.1415,100K
plate_1,H6,unrooted_pd,103.51,100K
plate_1,H6,bwpd,2.30575,100K
plate_1,H7,unrooted_pd,116.9,100K
plate_1,H7,bwpd,2.16333,100K
plate_1,H8,unrooted_pd,119.63,100K
plate_1,H8,bwpd,2.20802,100K
plate_1,H9,unrooted_pd,129.915,100K
plate_1,H9,bwpd,2.0882,100K
plate_2,A10,unrooted_pd,115.794,100K
plate_2,A10,bwpd,2.39059,100K
plate_2,A11,unrooted_pd,104.111,100K
plate_2,A11,bwpd,1.98129,100K
plate_2,A12,unrooted_pd,134.718,100K
plate_2,A12,bwpd,2.24917,100K
plate_2,A1,unrooted_pd,119.398,100K
plate_2,A1,bwpd,2.26512,100K
plate_2,A2,unrooted_pd,109.159,100K
plate_2,A2,bwpd,2.31525,100K
plate_2,A3,unrooted_pd,104.017,100K
plate_2,A3,bwpd,2.29371,100K
plate_2,A4,unrooted_pd,123.97,100K
plate_2,A4,bwpd,2.26698,100K
plate_2,A5,unrooted_pd,120.052,100K
plate_2,A5,bwpd,2.24484,100K
plate_2,A6,unrooted_pd,121.358,100K
plate_2,A6,bwpd,2.17208,100K
plate_2,A7,unrooted_pd,119.476,100K
plate_2,A7,bwpd,2.09983,100K
plate_2,A8,unrooted_pd,93.8755,100K
plate_2,A8,bwpd,2.32681,100K
plate_2,A9,unrooted_pd,127.105,100K
plate_2,A9,bwpd,2.10382,100K
plate_2,B10,unrooted_pd,105.826,100K
plate_2,B10,bwpd,2.27854,100K
plate_2,B11,unrooted_pd,100.181,100K
plate_2,B11,bwpd,2.35049,100K
plate_2,B12,unrooted_pd,130.244,100K
plate_2,B12,bwpd,2.11005,100K
plate_2,B1,unrooted_pd,125.52,100K
plate_2,B1,bwpd,2.03168,100K
plate_2,B2,unrooted_pd,115.876,100K
plate_2,B2,bwpd,2.13984,100K
plate_2,B3,unrooted_pd,127.116,100K
plate_2,B3,bwpd,2.09036,100K
plate_2,B4,unrooted_pd,111.079,100K
plate_2,B4,bwpd,2.07665,100K
plate_2,B5,unrooted_pd,40.5434,100K
plate_2,B5,bwpd,2.03566,100K
plate_2,B6,unrooted_pd,111.098,100K
plate_2,B6,bwpd,2.23794,100K
plate_2,B7,unrooted_pd,124.248,100K
plate_2,B7,bwpd,2.19213,100K
plate_2,B8,unrooted_pd,127.726,100K
plate_2,B8,bwpd,2.0023,100K
plate_2,B9,unrooted_pd,105.832,100K
plate_2,B9,bwpd,2.30279,100K
plate_2,C10,unrooted_pd,109.335,100K
plate_2,C10,bwpd,2.11851,100K
plate_2,C11,unrooted_pd,101.811,100K
plate_2,C11,bwpd,2.25131,100K
plate_2,C12,unrooted_pd,139.944,100K
plate_2,C12,bwpd,2.10749,100K
plate_2,C1,unrooted_pd,120.025,100K
plate_2,C1,bwpd,2.23109,100K
plate_2,C2,unrooted_pd,131.955,100K
plate_2,C2,bwpd,2.00089,100K
plate_2,C3,unrooted_pd,125.288,100K
plate_2,C3,bwpd,1.98133,100K
plate_2,C4,unrooted_pd,123.377,100K
plate_2,C4,bwpd,2.08845,100K
plate_2,C5,unrooted_pd,120.694,100K
plate_2,C5,bwpd,2.19525,100K
plate_2,C6,unrooted_pd,115.611,100K
plate_2,C6,bwpd,2.24975,100K
plate_2,C7,unrooted_pd,124.099,100K
plate_2,C7,bwpd,1.99367,100K
plate_2,C8,unrooted_pd,106.867,100K
plate_2,C8,bwpd,2.12767,100K
