isolation_source,collection_date,Cohort,phylo_entropy,quadratic,unrooted_pd,rooted_pd,bwpd
14186,t9,Neomycin+ColiGuard,3.36517030716967,0.936769383971128,290.075547904146,290.07572688679,2.13419490487837
29777,t0,Neomycin,3.50848604426759,0.942208705696598,318.75799843012,318.758027293856,2.13081723768628
14201,t2,Neomycin+D-Scour,3.47503580376411,0.878297122882156,363.723413955104,363.723207477753,1.98743438117575
29694,t1,Neomycin,3.60125735175651,0.957896647428663,335.348172135621,335.348114169301,2.14454011591176
14263,t3,Neomycin+ColiGuard,3.46296455174173,0.901405738478584,359.358339657883,359.358156026564,2.03024763914467
14288,t7,ColiGuard,3.33618489962898,0.880890600072089,309.835392616612,309.8354681797,2.00064441987992
29931,t0,Neomycin+D-Scour,3.47158816056905,1.0207907065837,265.216038663939,265.216347756888,2.35568852572129
14298,t2,Neomycin+D-Scour,3.57747491488617,0.916150434883462,332.809182531979,332.809137854286,2.0682508160861
14188,t1,ColiGuard,3.46553903203882,0.921706991085082,342.486256786427,342.486161460626,2.11848256299263
29646,t1,Neomycin+ColiGuard,3.59302981682105,0.966982766790082,339.368991970569,339.368912959984,2.17745026588291
29934,t7,Neomycin+D-Scour,3.52406795124055,0.930004686221403,342.358855528735,342.35876086973,2.10630704539181
29646,t3,Neomycin+ColiGuard,3.55250425634025,0.913974885177207,353.075921610155,353.075770859908,2.0356678223613
29715,t3,Neomycin+ColiGuard,3.44424105867197,0.888161822352353,341.61974752312,341.619656732477,1.9817135678949
29961,t1,Neomycin+D-Scour,3.39393067272634,0.937309020529282,317.830950980534,317.830984696274,2.15825415207652
29652,t8,Neomycin+D-Scour,3.18298531859327,0.90256286960577,267.803820238611,267.804115787566,2.08045285986906
14261,t3,Neomycin+ColiGuard,3.36030039863566,0.883791929626872,337.33328251256,337.333214156522,2.03207794571211
14288,t8,ColiGuard,3.29589338281155,0.8976336520895,305.218226469065,305.21832619759,2.06366178657642
29949,t0,Neomycin,3.5487595577263,1.035055726048,267.92399305615,267.924287976142,2.33056823123767
29793,t0,Neomycin,3.49321019439288,0.98439879839577,292.947949309831,292.948113258831,2.24292572545743
29645,t4,Neomycin+ColiGuard,3.42957732299378,0.919158259878412,340.079186215573,340.079103487957,2.09237195770923
14184,t7,Control,3.29890894539731,0.890269358164048,296.139305637255,296.139452883256,2.04517303762702
29781,t3,Neomycin,3.50478635405044,0.919979796131124,337.659465874451,337.659395811227,2.0540062562786
29654,t7,Control,3.12830911815782,0.899151435841786,269.814230156085,269.814515182908,2.11930487463887
29645,t0,Neomycin+ColiGuard,3.4948925771412,0.961161930690971,291.774879756789,291.774941306071,2.19625711661609
14187,t4,Control,3.46899567691324,0.926161901178762,335.625563526481,335.625504108344,2.09898581912203
14276,t2,D-Scour,3.50186980993765,0.935730382239757,320.198265130549,320.198286456182,2.0958026772656
14187,t7,Control,3.2782140845476,0.8880678557875,301.295894131198,301.296014388521,2.05130058570064
14320,t1,Neomycin+D-Scour,3.42272704500046,0.938232577623833,283.953962649815,283.954173671762,2.11636046842168
14208,t9,Neomycin,3.39833249393361,0.892695485376577,336.552610976067,336.552546705926,2.01980516544345
29643,t9,Neomycin+ColiGuard,3.41981950256703,0.885962109815136,334.540393948555,334.540340210005,2.01683423304412
29765,t2,D-Scour,3.25992267208714,0.831942968980514,345.910730308776,345.910617059882,1.89846556628867
14260,t9,Neomycin+ColiGuard,3.19935037167059,0.875375210175071,288.001889135336,288.002078971146,2.0163832879478
14260,t8,Neomycin+ColiGuard,3.26089485345807,0.930213202503409,283.496763810156,283.496977225001,2.15843983535148
29781,t7,Neomycin,3.27775499890022,0.96006056317927,287.236578034167,287.236771875481,2.24465876935704
14308,t9,ColiGuard,3.33642794497171,0.931865224205485,309.318559145693,309.318637413796,2.14935019693924
14317,t2,D-Scour,3.56416757138067,0.926142973801455,345.961221110309,345.961260557432,2.07519411986009
14260,t3,Neomycin+ColiGuard,3.40763122871297,0.875162219294739,340.325856735784,340.325772717138,2.00054715721208
29752,t8,D-Scour,3.19746902068426,0.850945693152714,316.425019370831,316.42506044497,1.9511465640125
14184,t1,Control,3.41895534134843,0.887819068120557,351.41338037503,351.413238326233,2.0348720368972
14263,t8,Neomycin+ColiGuard,3.53377176159113,0.886444471514713,374.886836215954,374.886571311211,1.98301335081961
29924,t3,ColiGuard,3.65219785525737,0.954716102938318,354.455650124304,354.455492152801,2.13901382796657
29781,t1,Neomycin,3.57795200389227,1.19919294185394,294.458693301749,294.45884934378,3.0610020246194
29643,t3,Neomycin+ColiGuard,3.52600331230305,0.934627841212153,323.267641530395,323.267646791451,2.08994923307407
29743,t2,Neomycin,3.6715874725998,1.11787159187146,347.338347238937,347.338226518147,2.67906037009124
29865,t9,Neomycin+D-Scour,3.17292144106828,0.889795050741458,309.7685295452,309.768605458237,2.10320348208179
29924,t1,ColiGuard,3.52043127277892,0.9592971967048,320.987972217233,320.987989409678,2.17890920590044
29796,t7,Neomycin,3.32920859812462,0.920226793958736,296.602829362048,296.602974182047,2.10102833514657
29654,t9,Control,3.2142841577296,0.869460686107346,287.389278832393,287.389471874498,1.96276503178846
14186,t7,Neomycin+ColiGuard,3.38522604878478,0.936000647978667,295.077628489825,295.077781292458,2.13371743359991
14320,t8,Neomycin+D-Scour,3.36603446838827,0.941305731754347,292.577491752005,292.577657639914,2.18613316950238
29931,t9,Neomycin+D-Scour,3.26526966962726,0.92397829719552,292.045297845761,292.04546651908,2.13964161427715
14188,t4,ColiGuard,3.49343523637689,0.913272373239975,339.543378089253,339.543298165962,2.04484588138066
14265,t9,Neomycin,3.44017229960104,0.940631857246404,300.586603441213,300.586727410839,2.13548584574237
29703,t0,Neomycin+D-Scour,3.49570365957573,0.938209309712536,332.048389205906,332.048348510071,2.13657341920998
29934,t4,Neomycin+D-Scour,3.30793762979585,0.934253764792073,340.58788769132,340.58780230125,2.21591322998138
14184,t9,Control,3.29508164208318,0.869904864384822,307.958888471179,307.958797361307,1.94813270304971
14160,t0,Control,3.43864528045649,0.978762727519929,266.281693561424,266.281502290486,2.22180573262495
29864,t0,D-Scour,3.46906715851131,1.00367947768134,284.977746826845,284.977999287181,2.32574238112773
29900,t2,Neomycin+ColiGuard,3.39592505075302,0.868968890846182,345.774744465212,345.774088004772,1.96877609172437
29668,t0,Neomycin,3.61376025399692,0.978523128223306,330.425423687899,330.424996701234,2.24736951598497
29913,t2,Control,3.38240547185648,0.89137913790147,316.774783072884,316.774560164567,2.06365628197908
29754,t2,Neomycin+D-Scour,3.51344063018199,0.87934977153158,375.925253010075,375.924145796725,1.96369833511835
29715,t2,Neomycin+ColiGuard,3.4966202184262,0.909127833771167,341.846280505911,341.845682776373,2.03807362096947
29764,t0,Control,3.30146588767321,0.945179299865625,279.011079539973,279.011421202541,2.22912652134224
14174,t2,Neomycin+D-Scour,3.20645329153916,0.8483179443464,320.398846952976,320.398569864567,1.94860354957136
